Fresno,Modesto/Sonora,LA/San Fernando Valley
LA/San Fernando Valley,LA/Long Beach,Santa Barbara
LA/San Fernando Valley,LA/Long Beach,Stockton
San Jose,Sacramento,San Francisco
San Jose,Palo Alto,San Francisco
LA/Long Beach,San Diego,San Francisco
LA/Long Beach,Palo Alto,San Diego
Sacramento,Chico,Fresno
Sacramento,Stockton,Chico
Sacramento,San Francisco,Bakersfield
San Jose,Palo Alto,Sacramento
Palo Alto,San Jose,San Francisco
Sacramento,Travis,Stockton
,,
LA/Long Beach,Palo Alto,Inland Empire
Sacramento,San Jose,Stockton
Sacramento,Stockton,San Jose
Fresno,Modesto/Sonora,Monterey
San Francisco,San Jose,Palo Alto
Palo Alto,San Jose,San Francisco
,,
,,
Santa Barbara,San Francisco,San Jose
Stockton,Sacramento,Modesto/Sonora
,,
LA/Long Beach,LA/San Fernando Valley,Bakersfield
San Diego,LA/Long Beach,LA/San Fernando Valley
Modesto/East Bay,Stockton,Sacramento
San Francisco,San Jose,Palo Alto
,San Diego,Santa Barbara
LA/Long Beach,Inland Empire,Santa Barbara
LA/Long Beach,San Diego,LA/San Fernando Valley
Sacramento,Stockton,San Diego
Bakersfield,Fresno,Stockton
,,
San Diego,LA/Long Beach,Palo Alto
San Francisco,LA/Long Beach,Palo Alto
San Jose,Stockton,Modesto/East Bay
Sacramento,Stockton,Travis
San Jose,Stockton,Inland Empire
San Francisco,San Jose,Palo Alto
Sacramento,Stockton,Palo Alto
San Francisco,Stockton,San Jose
LA/Long Beach,San Diego,Inland Empire
Palo Alto,San Francisco,Travis
San Francisco,Palo Alto,San Jose
Sacramento,Stockton,San Jose
Sacramento,Palo Alto,Stockton
Palo Alto,San Jose,San Francisco
Stockton,San Francisco,Palo Alto
Palo Alto,San Francisco,San Jose
Fresno,Modesto/East Bay,Bakersfield
San Diego,LA/Long Beach,Inland Empire
San Jose,Palo Alto,San Francisco
San Francisco,Inland Empire,San Jose
,,
,,
,,
,,
Bakersfield,Stockton,San Jose
Stockton,Sacramento,San Jose
,,
Bakersfield,Stockton,San Jose
LA/Long Beach,LA/San Fernando Valley,
LA/Long Beach,San Diego,Palo Alto
Stockton,Inland Empire,Sacramento
San Francisco,Palo Alto,San Jose
LA/Long Beach,Santa Barbara,San Francisco
Santa Barbara,Monterey,Modesto/East Bay
,,
Inland Empire,LA/Long Beach,LA/San Fernando Valley
,,
Travis,Palo Alto,San Francisco
,,
Stockton,Sacramento,Modesto/Sonora
,,
LA/Long Beach,LA/San Fernando Valley,Inland Empire
Stockton,Sacramento,Modesto/East Bay
Sacramento,San Jose,San Diego
