Fresno (100.00),Modesto/Sonora (0.00),LA/San Fernando Valley (0.00),
LA/San Fernando Valley (100.00),LA/Long Beach (0.00),Santa Barbara (0.00),
LA/San Fernando Valley (100.00),LA/Long Beach (0.00),Stockton (0.00),
San Jose (100.00),Sacramento (0.00),San Francisco (0.00),
San Jose (100.00),Palo Alto (0.00),San Francisco (0.00),
LA/Long Beach (100.00),San Diego (0.00),San Francisco (0.00),
LA/Long Beach (100.00),Palo Alto (0.00),San Diego (0.00),
Sacramento (100.00),Chico (0.00),Fresno (0.00),
Sacramento (100.00),Stockton (0.00),Chico (0.00),
Sacramento (100.00),San Francisco (0.00),Bakersfield (0.00),
San Jose (100.00),Palo Alto (0.00),Sacramento (0.00),
Palo Alto (100.00),San Jose (0.00),San Francisco (0.00),
Sacramento (100.00),Travis (0.00),Stockton (0.00),
N/A,N/A,N/A,
LA/Long Beach (100.00),Palo Alto (0.00),Inland Empire (0.00),
Sacramento (100.00),San Jose (0.00),Stockton (0.00),
Sacramento (100.00),Stockton (0.00),San Jose (0.00),
Fresno (100.00),Modesto/Sonora (0.00),Monterey (0.00),
San Francisco (100.00),San Jose (0.00),Palo Alto (0.00),
Palo Alto (100.00),San Jose (0.00),San Francisco (0.00),
N/A,N/A,N/A,
N/A,N/A,N/A,
Santa Barbara (100.00),San Francisco (0.00),San Jose (0.00),
Stockton (100.00),Sacramento (0.00),Modesto/Sonora (0.00),
N/A,N/A,N/A,
LA/Long Beach (100.00),LA/San Fernando Valley (0.00),Bakersfield (0.00),
San Diego (100.00),LA/Long Beach (0.00),LA/San Fernando Valley (0.00),
Modesto/East Bay (100.00),Stockton (0.00),Sacramento (0.00),
San Francisco (100.00),San Jose (0.00),Palo Alto (0.00),
N/A,San Diego (4.28),Santa Barbara (4.02),
LA/Long Beach (100.00),Inland Empire (0.00),Santa Barbara (0.00),
LA/Long Beach (100.00),San Diego (0.00),LA/San Fernando Valley (0.00),
Sacramento (100.00),Stockton (0.00),San Diego (0.00),
Bakersfield (100.00),Fresno (0.00),Stockton (0.00),
N/A,N/A,N/A,
San Diego (100.00),LA/Long Beach (0.00),Palo Alto (0.00),
San Francisco (100.00),LA/Long Beach (0.00),Palo Alto (0.00),
San Jose (100.00),Stockton (0.00),Modesto/East Bay (0.00),
Sacramento (99.94),Stockton (0.06),Travis (0.00),
San Jose (100.00),Stockton (0.00),Inland Empire (0.00),
San Francisco (100.00),San Jose (0.00),Palo Alto (0.00),
Sacramento (98.93),Stockton (1.07),Palo Alto (0.00),
San Francisco (100.00),Stockton (0.00),San Jose (0.00),
LA/Long Beach (100.00),San Diego (0.00),Inland Empire (0.00),
Palo Alto (100.00),San Francisco (0.00),Travis (0.00),
San Francisco (100.00),Palo Alto (0.00),San Jose (0.00),
Sacramento (93.37),Stockton (6.63),San Jose (0.00),
Sacramento (72.25),Palo Alto (27.75),Stockton (0.00),
Palo Alto (100.00),San Jose (0.00),San Francisco (0.00),
Stockton (100.00),San Francisco (0.00),Palo Alto (0.00),
Palo Alto (100.00),San Francisco (0.00),San Jose (0.00),
Fresno (100.00),Modesto/East Bay (0.00),Bakersfield (0.00),
San Diego (100.00),LA/Long Beach (0.00),Inland Empire (0.00),
San Jose (100.00),Palo Alto (0.00),San Francisco (0.00),
San Francisco (100.00),Inland Empire (0.00),San Jose (0.00),
N/A,N/A,N/A,
N/A,N/A,N/A,
N/A,N/A,N/A,
N/A,N/A,N/A,
Bakersfield (100.00),Stockton (0.00),San Jose (0.00),
Stockton (100.00),Sacramento (0.00),San Jose (0.00),
N/A,N/A,N/A,
Bakersfield (100.00),Stockton (0.00),San Jose (0.00),
LA/Long Beach (100.00),LA/San Fernando Valley (0.00),N/A,
LA/Long Beach (99.89),San Diego (0.11),Palo Alto (0.00),
Stockton (100.00),Inland Empire (0.00),Sacramento (0.00),
San Francisco (99.84),Palo Alto (0.16),San Jose (0.00),
LA/Long Beach (99.38),Santa Barbara (0.62),San Francisco (0.00),
Santa Barbara (100.00),Monterey (0.00),Modesto/East Bay (0.00),
N/A,N/A,N/A,
Inland Empire (100.00),LA/Long Beach (0.00),LA/San Fernando Valley (0.00),
N/A,N/A,N/A,
Travis (100.00),Palo Alto (0.00),San Francisco (0.00),
N/A,N/A,N/A,
Stockton (100.00),Sacramento (0.00),Modesto/Sonora (0.00),
N/A,N/A,N/A,
LA/Long Beach (87.53),LA/San Fernando Valley (12.47),Inland Empire (0.00),
Stockton (100.00),Sacramento (0.00),Modesto/East Bay (0.00),
Sacramento (6.20),San Jose (93.78),San Diego (0.02),
Sacramento (0.00),Palo Alto (99.92),N/A,
LA/Long Beach (70.94),LA/San Fernando Valley (29.06),Inland Empire (0.00),
LA/Long Beach (46.48),LA/San Fernando Valley (53.52),San Diego (0.00),
N/A,N/A,N/A,
LA/San Fernando Valley (100.00),LA/Long Beach (0.00),N/A,
LA/Long Beach (17.44),LA/San Fernando Valley (82.56),Inland Empire (0.00),
Inland Empire (100.00),San Diego (0.00),N/A,
Sacramento (0.00),Stockton (100.00),Palo Alto (0.00),
San Jose (99.67),Palo Alto (0.33),San Francisco (0.00),
Sacramento (0.00),San Francisco (94.17),Stockton (5.83),
N/A,N/A,N/A,
N/A,N/A,N/A,
Sacramento (0.00),Stockton (99.99),Palo Alto (0.01),
San Francisco (75.67),Palo Alto (24.10),San Jose (0.23),
N/A,N/A,N/A,
Fresno (100.00),Inland Empire (0.00),San Jose (0.00),
LA/Long Beach (1.81),LA/San Fernando Valley (98.18),Inland Empire (0.01),
Palo Alto (95.71),LA/Long Beach (0.00),LA/San Fernando Valley (4.29),
LA/Long Beach (0.00),LA/San Fernando Valley (99.82),Inland Empire (0.18),
San Francisco (47.95),Palo Alto (43.71),San Jose (8.25),
Sacramento (0.00),Stockton (99.79),Travis (0.21),
San Francisco (22.81),Palo Alto (53.70),LA/Long Beach (0.00),
San Diego (100.00),LA/Long Beach (0.00),Palo Alto (0.00),
San Jose (95.37),LA/Long Beach (0.00),N/A,
Stockton (98.64),LA/Long Beach (0.00),Palo Alto (1.01),
San Jose (86.41),Modesto/East Bay (13.59),Modesto/Sonora (0.00),
San Jose (69.31),Palo Alto (18.47),Stockton (11.97),
LA/Long Beach (0.00),LA/San Fernando Valley (98.89),Santa Barbara (1.11),
Inland Empire (100.00),LA/San Fernando Valley (0.00),San Diego (0.00),
San Jose (43.85),Santa Barbara (56.15),San Diego (0.00),
Travis (100.00),Sacramento (0.00),San Francisco (0.00),
N/A,N/A,N/A,
San Francisco (4.57),Stockton (87.44),Palo Alto (3.66),
Stockton (78.24),Modesto/East Bay (21.76),Modesto/Sonora (0.00),
Santa Barbara (100.00),Travis (0.00),Sacramento (0.00),
N/A,N/A,N/A,
N/A,N/A,N/A,
San Jose (11.31),LA/Long Beach (0.00),Stockton (38.80),
N/A,N/A,N/A,
San Jose (1.86),N/A,N/A,
N/A,N/A,N/A,
San Francisco (0.00),San Jose (0.06),Stockton (12.91),
Santa Barbara (100.00),LA/Long Beach (0.00),San Diego (0.00),
N/A,N/A,N/A,
LA/San Fernando Valley (82.77),San Diego (17.23),San Jose (0.00),
Bakersfield (100.00),Palo Alto (0.00),Stockton (0.00),
San Francisco (0.00),San Jose (0.00),LA/Long Beach (0.00),
Santa Barbara (100.00),Monterey (0.00),Modesto/Sonora (0.00),
Inland Empire (100.00),LA/Long Beach (0.00),LA/San Fernando Valley (0.00),
Santa Barbara (99.92),Fresno (0.08),Stockton (0.00),
Stockton (2.31),Modesto/East Bay (97.69),Travis (0.00),
Palo Alto (18.12),San Francisco (0.00),San Jose (0.00),
LA/Long Beach (0.00),Inland Empire (100.00),Santa Barbara (0.00),
Fresno (100.00),Bakersfield (0.00),Stockton (0.00),
N/A,N/A,N/A,
Sacramento (0.00),Travis (99.98),Palo Alto (0.02),
San Diego (100.00),Santa Barbara (0.00),Inland Empire (0.00),
N/A,N/A,N/A,
San Francisco (0.00),San Jose (0.00),Stockton (0.08),
N/A,N/A,N/A,
Inland Empire (99.92),LA/San Fernando Valley (0.07),Santa Barbara (0.01),
N/A,N/A,N/A,
Palo Alto (3.22),LA/San Fernando Valley (52.92),Redding (43.86),
N/A,N/A,N/A,
Palo Alto (0.47),Bakersfield (99.53),San Francisco (0.00),
San Francisco (0.00),San Jose (0.00),Palo Alto (0.06),
N/A,N/A,N/A,
N/A,N/A,N/A,
Sacramento (0.00),Stockton (0.01),Bakersfield (99.99),
N/A,N/A,N/A,
N/A,N/A,N/A,
Modesto/East Bay (99.86),Modesto/Sonora (0.12),Stockton (0.00),
